-12	-0.00044276
-11.8	-0.00045839
-11.6	-0.0004662
-11.4	-0.0005287
-11.2	-0.00041151
-11	-0.0004662
-10.8	-0.00039589
-10.6	-0.00054433
-10.4	-0.00024745
-10.2	-0.00034902
-10	-0.00030995
-9.8	-0.00030995
-9.6	-9.12E-05
-9.4	-0.00025526
-9.2	-0.00038026
-9	-0.00030995
-8.8	-0.00026308
-8.6	-0.0001537
-8.4	-0.0002162
-8.2	-0.00020839
-8	5.72399999999999E-05
-7.8	-0.00020058
-7.6	-9.902E-05
-7.4	-0.00011464
-7.2	-0.00014589
-7	-0.0001537
-6.8	-5.2600000000002E-06
-6.6	-0.00016151
-6.4	-0.00011464
-6.2	-0.00011464
-6	-0.00013026
-5.8	-0.00011464
-5.6	1.03600000000001E-05
-5.4	-3.651E-05
-5.2	-0.00012245
-5	-4.43300000000002E-05
-4.8	-0.00010683
-4.6	-7.558E-05
-4.4	-0.00011464
-4.2	-9.12E-05
-4	-0.00012245
-3.8	5.72399999999999E-05
-3.6	-8.339E-05
-3.4	-9.902E-05
-3.2	-1.30800000000002E-05
-3	-5.2600000000002E-06
-2.8	1.03600000000001E-05
-2.6	-9.902E-05
-2.4	-7.558E-05
-2.2	-9.12E-05
-2	-4.43300000000002E-05
-1.8	-2.87000000000002E-05
-1.6	0.00019786
-1.4	-9.902E-05
-1.2	-2.08900000000002E-05
-1	-5.995E-05
-0.800000000000003	-9.12E-05
-0.600000000000001	-1.30800000000002E-05
-0.400000000000002	0.00010411
-0.200000000000001	-2.87000000000002E-05
0	4.94199999999999E-05
0.199999999999999	0.00011192
0.4	0.00027598
0.6	0.00018224
0.800000000000001	4.16099999999999E-05
1	0.00019786
1.2	0.0002213
1.4	0.00026817
1.6	0.00023692
1.8	0.00032286
2	0.00018224
2.2	0.00026036
2.4	0.00023692
2.6	0.00029161
2.8	0.00027598
3	0.00044005
3.2	0.000588485
3.4	0.00043224
3.6	0.00029161
3.8	0.00044005
4	0.00055724
4.2	0.00051036
4.4	0.00056505
4.6	0.000736923
4.8	0.000721298
5	0.000627547
5.2	0.000580673
5.4	0.00050255
5.6	0.00033067
5.8	0.00038536
6	0.000596298
6.2	0.00014317
6.4	0.00026817
6.6	0.00036974
6.8	0.000830673
7	0.00147911
7.2	0.002502547
7.4	0.00402599
7.6	0.0060338
7.8	0.00844005
8	0.01156505
8.2	0.01511976
8.4	0.01967446
8.6	0.02455726
8.8	0.03022916
9	0.03609626
9.2	0.04269786
9.4	0.04987756
9.6	0.05754166
9.8	0.06546346
10	0.07380726
10.2	0.08235406
10.4	0.09092446
